"Nom usuel de l'installation","Numéro de l'installation","Nom de la commune","Code INSEE","Code postal","Nom du lieu dit","Numero de la voie","Nom de la voie","location","Longitude","Latitude","Aucun aménagement d'accessibilité","Accessibilité handicapés à mobilité réduite","Accessibilité handicapés sensoriels","Emprise foncière en m2","Gardiennée avec ou sans logement de gardien","Multi commune","Nombre total de place de parking","Nombre total de place de parking handicapés","Installation particulière","Desserte métro","Desserte bus","Desserte Tram","Desserte train","Desserte bateau","Desserte autre","Nombre total d'équipements sportifs","Nombre total de fiches équipements","Date de mise à jour de la fiche installation"
"Stade de la Davrays","440030002","Ancenis","44003","44150","La Davrays","","Impasse de l'île Mouchet","[ 47.372641 , -1.178918]","-1.178918","47.372641","Non","Oui","Non","","Non","Non","50","0","Non","Non","Non","Non","Non","Non","Non","8","6","2012-01-11"
"Complexe du Bois Jauni","440030003","Ancenis","44003","44150","","290","avenue des Jeux Olympiques","[ 47.372641 , -1.178918]","-1.178918","47.372641","Non","Oui","Non","","Avec logement de gardien","Non","300","4","Complexe sportif","Non","Non","Non","Non","Non","Non","7","7","2011-05-27"
"Complexe du Pressoir Rouge","440030004","Ancenis","44003","44150","","320","rue du Pressoir-Rouge","[ 47.372641 , -1.178918]","-1.178918","47.372641","Non","Oui","Non","","Sans logement de gardien","Non","60","2","Complexe sportif","Non","Non","Non","Non","Non","Non","5","4","2011-05-30"
"Halte Nautique","440030005","Ancenis","44003","44150","","","Rond Point Barrière Saint Pierre","[ 47.372641 , -1.178918]","-1.178918","47.372641","Non","Oui","Non","","Non","Non","0","0","Non","Non","Non","Oui","Non","Non","Non","1","1","2011-06-06"
"La Charbonniere","440030006","Ancenis","44003","44150","","","Boulevard de Kirkham","[ 47.372641 , -1.178918]","-1.178918","47.372641","Non","Oui","Non","","Avec logement de gardien","Non","1500","4","Complexe sportif","Non","Oui","Non","Non","Non","Non","8","5","2013-07-05"
"Piscine Municipale D'Ete de la Charbonniere","440030007","Ancenis","44003","44150","","","Boulevard Joubert","[ 47.372641 , -1.178918]","-1.178918","47.372641","Non","Oui","Non","","Non","Non","0","0","Piscine","Non","Non","Non","Non","Non","Oui","2","2","2012-05-14"
"Piste de Karting de L'Aubiniere","440030009","Ancenis","44003","44150","","","L'Aubinière","[ 47.372641 , -1.178918]","-1.178918","47.372641","Non","Oui","Non","6000","Non","Non","3","3","Non","Non","Oui","Non","Non","Non","Non","1","1","2014-04-10"
"Centre Aquatique Jean Blanchet","440030010","Ancenis","44003","44150","","184","Rue Pierre de Coubertin","[ 47.372641 , -1.178918]","-1.178918","47.372641","Non","Oui","Non","","Non","Non","450","4","Piscine","Non","Oui","Non","Non","Non","Non","2","2","2012-05-14"
"Espace Corail","440030011","Ancenis","44003","44150","","","place Francis Robert","[ 47.372641 , -1.178918]","-1.178918","47.372641","Non","Oui","Non","","Sans logement de gardien","Non","0","0","Non","Non","Non","Oui","Non","Non","Non","2","2","2011-06-06"
"Orange Bleue","440030012","Ancenis","44003","44150","","65","avenue du Général Hagron","[ 47.372641 , -1.178918]","-1.178918","47.372641","Non","Oui","Non","","Non","Non","0","0","Non","Non","Non","Non","Oui","Non","Non","2","2","2011-05-26"
"Circuits de Randonnee","440030014","Ancenis","44003","44150","","","","[ 47.372641 , -1.178918]","-1.178918","47.372641","Oui","Non","Non","","Non","Non","0","0","Non","Non","Non","Non","Non","Non","Non","7","7","2011-05-27"
"Aeroport du Pays D'Ancenis","440030015","Ancenis","44003","44150","","60","Place Hélène Boucher","[ 47.372641 , -1.178918]","-1.178918","47.372641","Non","Oui","Non","","Sans logement de gardien","Non","40","2","Aérodrome/aéroport","Non","Oui","Non","Non","Non","Non","2","2","2011-05-27"
"Stand de Tir de L'Aubiniere","440030016","Ancenis","44003","44150","L'Aubinière","","","[ 47.372641 , -1.178918]","-1.178918","47.372641","Oui","Non","Non","","Non","Non","50","0","Non","Non","Non","Non","Non","Non","Non","1","1","2014-04-10"
"Lycee College Saint Joseph","440030017","Ancenis","44003","44150","","66","rue du collège","[ 47.372641 , -1.178918]","-1.178918","47.372641","Oui","Non","Non","","Non","Non","0","0","Etablissement scolaire","Non","Oui","Non","Oui","Non","Non","7","7","2011-05-27"
"Les Abattoirs","440030018","Ancenis","44003","44150","","72","rue saint fiacre","[ 47.372641 , -1.178918]","-1.178918","47.372641","Non","Oui","Non","","Sans logement de gardien","Non","0","0","Non","Non","Non","Non","Non","Non","Non","1","1","2011-05-30"
"Etang de la Planche","440030019","Ancenis","44003","44150","La Planche","","","[ 47.372641 , -1.178918]","-1.178918","47.372641","Non","Oui","Non","10000","Non","Non","85","0","Non","Non","Non","Non","Non","Non","Non","1","1","2011-05-26"
"Espace de Glisse Urbaine","440030020","Ancenis","44003","44150","","","Bd Vincent","[ 47.372641 , -1.178918]","-1.178918","47.372641","Oui","Non","Non","800","Non","Non","0","0","Non","Non","Oui","Non","Non","Non","Non","1","1","2011-06-30"
"Espace Lamoriciere","440030021","Ancenis","44003","44150","","174","rue Lamoricière","[ 47.372641 , -1.178918]","-1.178918","47.372641","Non","Oui","Non","","Non","Non","5","2","Non","Non","Non","Oui","Non","Non","Non","3","3","2011-05-30"
"Site de L'Ile Mouchet","440030022","Ancenis","44003","44150","","","impasse de l'Ile Mouchet","[ 47.372641 , -1.178918]","-1.178918","47.372641","Oui","Non","Non","400000","Non","Non","0","0","Non","Non","Non","Non","Non","Non","Non","2","2","2011-05-30"
"Groupe Scolaire Sevigne","440030023","Ancenis","44003","44150","","","Bld Madame de Sévigné","[ 47.372641 , -1.178918]","-1.178918","47.372641","Non","Oui","Non","","Non","Non","0","0","Etablissement scolaire","Non","Non","Non","Non","Non","Non","3","3","2011-06-30"
"Ecole Sainte Anne","440030024","Ancenis","44003","44150","","","Bld Ottmann","[ 47.372641 , -1.178918]","-1.178918","47.372641","Non","Oui","Non","","Non","Non","50","0","Etablissement scolaire","Non","Non","Non","Non","Non","Non","2","2","2011-06-30"
"Stade Joseph Menoret","440040001","Anetz","44004","44150","","","Impasse des sports","[ 47.382099 , -1.103978]","-1.103978","47.382099","Oui","Non","Non","0","Non","Non","0","0","Non","Non","Non","Non","Non","Non","Non","1","1","2014-04-30"
"Complexe Sportif de la Cour","440040002","Anetz","44004","44150","","","Rue de Port Arthur","[ 47.382099 , -1.103978]","-1.103978","47.382099","Oui","Non","Non","25000","Non","Non","150","0","Complexe sportif","Non","Non","Non","Non","Non","Non","7","6","2014-10-06"
"Circuits et Sentiers","440040003","Anetz","44004","44150","","","","[ 47.382099 , -1.103978]","-1.103978","47.382099","Oui","Non","Non","","Non","Non","0","0","Non","Non","Non","Non","Non","Non","Non","7","7","2014-06-17"
"Cale des Cosniers","440040005","Anetz","44004","44150","Les Cosniers","","","[ 47.382099 , -1.103978]","-1.103978","47.382099","Oui","Non","Non","","Non","Non","0","0","Non","Non","Non","Non","Non","Non","Non","1","1","2014-04-30"
"Cale de la Chaussee","440040006","Anetz","44004","44150","La Chaussée","","D 8","[ 47.382099 , -1.103978]","-1.103978","47.382099","Oui","Non","Non","","Non","Non","0","0","Non","Non","Non","Non","Non","Non","Non","1","1","2014-04-30"
"Cale de la Basse Boire","440040007","Anetz","44004","44150","La Basse Boire","","","[ 47.382099 , -1.103978]","-1.103978","47.382099","Oui","Non","Non","","Non","Non","0","0","Non","Non","Non","Non","Non","Non","Non","1","1","2014-04-30"
"Complexe Sportif Stade des Chaumes","440050001","Arthon-en-Retz","44005","44320","","","Rue du Stade","[ 47.116381 , -1.93926]","-1.93926","47.116381","Non","Oui","Non","1860","Non","Non","20","0","Complexe sportif","Non","Non","Non","Non","Non","Non","9","7","2012-11-14"
"Plan D'Eau de la Vesquerie","440050002","Arthon-en-Retz","44005","44320","La Vesquerie","","D206","[ 47.116381 , -1.93926]","-1.93926","47.116381","Oui","Non","Non","45000","Non","Non","","","Non","Non","Non","Non","Non","Non","Non","1","1","2011-09-20"
"Circuits de Randonnees","440050003","Arthon-en-Retz","44005","44320","","","","[ 47.116381 , -1.93926]","-1.93926","47.116381","Oui","Non","Non","","Non","Non","0","0","Non","Non","Oui","Non","Non","Non","Non","2","2","2011-05-24"
"Terrain de Foot la Sicaudais","440050004","Arthon-en-Retz","44005","44320","la sicaudais","","","[ 47.116381 , -1.93926]","-1.93926","47.116381","Oui","Non","Non","","Non","Non","0","0","Non","Non","Oui","Non","Non","Non","Non","1","1","2011-09-20"
"Le Plan D'Eau","440050005","Arthon-en-Retz","44005","44320","La Sicaudais","","place sainte victoire","[ 47.116381 , -1.93926]","-1.93926","47.116381","Oui","Non","Non","","Non","Non","0","0","Non","Non","Non","Non","Non","Non","Non","2","2","2012-06-06"
"Stade Henri Boulard","440060001","Assérac","44006","44410","","","Rue du Parc Guillore","[ 47.428545 , -2.390511]","-2.390511","47.428545","Oui","Non","Non","33984","Non","Non","30","2","Non","Non","Non","Non","Non","Non","Non","3","3","2014-05-22"
"Circuits de Randonnees","440060006","Assérac","44006","44410","","","","[ 47.428545 , -2.390511]","-2.390511","47.428545","Oui","Non","Non","","Non","Non","40","0","Non","Non","Non","Non","Non","Non","Non","3","3","2014-06-17"
"Plage de Pont Mahe","440060007","Assérac","44006","44410","Pont Mahé","","","[ 47.428545 , -2.390511]","-2.390511","47.428545","Non","Oui","Non","","Non","Non","15","2","Non","Non","Non","Non","Non","Non","Non","1","1","2014-05-22"
"Piste de Skate Board","440060008","Assérac","44006","44410","","","Rue du Pont Bérin","[ 47.428545 , -2.390511]","-2.390511","47.428545","Oui","Non","Non","","Non","Non","0","0","Non","Non","Oui","Non","Non","Non","Non","1","1","2014-05-22"
"Baie de Keravelo","440060009","Assérac","44006","44410","Kéravelo","","","[ 47.428545 , -2.390511]","-2.390511","47.428545","Oui","Non","Non","","Non","Non","10","0","Non","Non","Non","Non","Non","Non","Non","1","1","2014-05-22"
"Salle des Fetes","440060010","Assérac","44006","44410","","","Rue de la Fontaine","[ 47.428545 , -2.390511]","-2.390511","47.428545","Non","Oui","Non","0","Non","Non","30","2","Non","Non","Non","Non","Non","Non","Non","1","1","2014-06-17"
"Complexe Sport Loisirs","440070001","Avessac","44007","44460","","","Route de Redon","[ 47.653187 , -1.990525]","-1.990525","47.653187","Non","Oui","Non","20000","Non","Non","200","2","Complexe sportif","Non","Oui","Non","Non","Non","Non","6","5","2014-05-22"
"Gite de Painfaut","440070002","Avessac","44007","44460","le pont Painfaut","","","[ 47.653187 , -1.990525]","-1.990525","47.653187","Oui","Non","Non","0","Non","Non","20","0","Non","Non","Non","Non","Non","Non","Non","1","1","2014-05-22"
"Haras du Parc","440070003","Avessac","44007","44460","","","Haras du parc d'en haut","[ 47.653187 , -1.990525]","-1.990525","47.653187","Non","Oui","Non","","Avec logement de gardien","Non","20","2","Non","Non","Non","Non","Non","Non","Non","5","5","2014-10-06"
"École Joachim du Bellay","721760008","Lude","72176","72800","","2","Rue Crétois","[ 47.644792 , 0.152192]","0.152192","47.644792","Non","Oui","Non","1500","Non","Non","10","1","Etablissement scolaire","Non","Non","Non","Non","Non","Non","5","5","2011-05-04"
"École Georges Brassens","721760010","Lude","72176","72800","","15","Rue des Aitreaux","[ 47.644792 , 0.152192]","0.152192","47.644792","Non","Oui","Non","1000","Non","Non","20","0","Etablissement scolaire","Non","Oui","Non","Non","Non","Non","3","3","2011-05-06"
"Collège des Quatre Vents","721760011","Lude","72176","72800","","13","Rue des Quatre Vents","[ 47.644792 , 0.152192]","0.152192","47.644792","Oui","Non","Non","15000","Non","Non","40","0","Etablissement scolaire","Non","Oui","Non","Non","Non","Non","8","7","2011-05-06"
"Société Péan","721760012","Lude","72176","72800","","15","Rue Gendrottière","[ 47.644792 , 0.152192]","0.152192","47.644792","Oui","Non","Non","150","Non","Non","5","0","Non","Non","Non","Non","Non","Non","Non","2","2","2011-05-06"
"Les Écuries de Vaunauval","721760013","Lude","72176","72800","La ménagerie","","Route de Coulongé","[ 47.644792 , 0.152192]","0.152192","47.644792","Oui","Non","Non","50000","Avec logement de gardien","Non","20","0","Non","Non","Non","Non","Non","Non","Non","3","3","2011-05-06"
"Circuits de Randonnée","721760014","Lude","72176","72800","","","Place de la Mairie","[ 47.644792 , 0.152192]","0.152192","47.644792","Oui","Non","Non","","Non","Oui","20","1","Non","Non","Non","Non","Non","Non","Non","3","3","2011-05-06"
"Complexe Sportif de Pontfour","721760015","Lude","72176","72800","","","route du Pontfour","[ 47.644792 , 0.152192]","0.152192","47.644792","Non","Oui","Non","","Non","Non","100","4","Complexe sportif","Non","Non","Non","Non","Non","Non","13","12","2011-05-06"
"Ecole Sainte Anne Notre Dame","721760016","Lude","72176","72800","","26","Grande rue","[ 47.644792 , 0.152192]","0.152192","47.644792","Oui","Non","Non","","Non","Non","10","0","Etablissement scolaire","Non","Oui","Non","Non","Non","Non","2","1","2011-05-06"
"Luna Park","721760017","Lude","72176","72800","Centre de Vaunaval","","route de Coulongée","[ 47.644792 , 0.152192]","0.152192","47.644792","Oui","Non","Non","20000","Avec logement de gardien","Non","50","1","Base de plein air et/ou de loisirs","Non","Non","Non","Non","Non","Non","4","4","2011-05-06"
"Site du Chemin des Pêcheurs","721760018","Lude","72176","72800","","","Rue des Bichousières","[ 47.644792 , 0.152192]","0.152192","47.644792","Oui","Non","Non","","Non","Non","5","0","Non","Non","Non","Non","Non","Non","Non","1","1","2011-05-06"
"Domaine de la Courbe","721760019","Lude","72176","72800","La Courbe","","","[ 47.644792 , 0.152192]","0.152192","47.644792","Non","Oui","Non","","Sans logement de gardien","Non","30","0","Non","Non","Non","Non","Non","Non","Non","2","2","2011-05-09"
"Terrain de Loisirs","721770001","Maigné","72177","72210","","","Place de la mairie","[ 47.936733 , -0.055361]","-0.055361","47.936733","Non","Oui","Non","","Non","Non","10","0","Non","Non","Non","Non","Non","Non","Non","2","2","2013-10-15"
"Terrain de Jeux","721770002","Maigné","72177","72700","","","rue principale","[ 47.936733 , -0.055361]","-0.055361","47.936733","Oui","Non","Non","","Non","Non","0","0","Non","Non","Non","Non","Non","Non","Non","1","1","2013-10-15"
"Départ de Circuit de Randonnées","721780001","Maisoncelles","72178","72440","","","Place de l'Eglise","[ 47.93526 , 0.569887]","0.569887","47.93526","Oui","Non","Non","","Non","Oui","5","0","Non","Non","Non","Non","Non","Non","Non","3","3","2013-10-01"
"Poney Club de la Basse Folie","721780002","Maisoncelles","72178","72440","La basse folie","","","[ 47.93526 , 0.569887]","0.569887","47.93526","Oui","Non","Non","4000","Non","Non","10","0","Non","Non","Non","Non","Non","Non","Non","3","3","2013-10-02"
"Les Écuries du Marchais","721780003","Maisoncelles","72178","72440","Le Marchais","","","[ 47.93526 , 0.569887]","0.569887","47.93526","Oui","Non","Non","","Avec logement de gardien","Non","5","0","Non","Non","Non","Non","Non","Non","Non","1","1","2013-10-02"
"Paint Ball la Folie","721780004","Maisoncelles","72178","72440","La basse folie","","","[ 47.93526 , 0.569887]","0.569887","47.93526","Oui","Non","Non","","Non","Non","0","0","Non","Non","Non","Non","Non","Non","Non","1","1","2013-10-01"
"Parcours Santé","721790001","Malicorne-sur-Sarthe","72179","72270","","","","[ 47.81284 , -0.085826]","-0.085826","47.81284","Oui","Non","Non","","Non","Non","20","0","Non","Non","Non","Non","Non","Non","Non","1","1","2014-09-17"
"Salle des Fêtes","721790002","Malicorne-sur-Sarthe","72179","72270","","31","rue Girard","[ 47.81284 , -0.085826]","-0.085826","47.81284","Non","Oui","Non","","Non","Non","50","2","Non","Non","Non","Non","Non","Non","Non","1","1","2014-09-17"
"Foyer des Ainés Ruraux","721790003","Malicorne-sur-Sarthe","72179","72270","","1","rue Bernard Palissy","[ 47.81284 , -0.085826]","-0.085826","47.81284","Oui","Non","Non","","Non","Non","10","0","Non","Non","Non","Non","Non","Non","Non","2","2","2014-09-17"
"Ecole Bernard Palissy","721790004","Malicorne-sur-Sarthe","72179","72270","","1","rue Victor Hugo","[ 47.81284 , -0.085826]","-0.085826","47.81284","Oui","Non","Non","","Non","Non","10","0","Non","Non","Non","Non","Non","Non","Non","3","3","2014-09-17"
"Etang du Top-Ten","721790005","Malicorne-sur-Sarthe","72179","72270","Route de Courcelles la forêt","","","[ 47.81284 , -0.085826]","-0.085826","47.81284","Oui","Non","Non","10000","Non","Non","0","0","Non","Non","Non","Non","Non","Non","Non","1","1","2014-09-17"
"Aire de Jeux du Gué Guillaume","721790006","Malicorne-sur-Sarthe","72179","72270","","","résidence du Gué Guillaume","[ 47.81284 , -0.085826]","-0.085826","47.81284","Oui","Non","Non","","Non","Non","0","0","Non","Non","Non","Non","Non","Non","Non","1","1","2014-09-17"
"Société L'Union","721790007","Malicorne-sur-Sarthe","72179","72270","","16","rue Aristide Briand","[ 47.81284 , -0.085826]","-0.085826","47.81284","Oui","Non","Non","","Non","Non","10","0","Non","Non","Non","Non","Non","Non","Non","1","1","2014-09-17"
"Ecole Privée Sainte Thérèse","721790008","Malicorne-sur-Sarthe","72179","72270","","23","Place de la république","[ 47.81284 , -0.085826]","-0.085826","47.81284","Non","Oui","Non","","Non","Non","5","0","Etablissement scolaire","Non","Non","Non","Non","Non","Non","1","1","2014-09-17"
"Halte Fluviale de Malicorne Sur Sarthe","721790009","Malicorne-sur-Sarthe","72179","72270","","","Place Pierre DESAUTELS","[ 47.81284 , -0.085826]","-0.085826","47.81284","Non","Oui","Non","","Non","Non","10","1","Non","Non","Non","Non","Non","Non","Non","6","6","2014-09-17"
"Complexe Sportif Saint Jean","721800001","Mamers","72180","72600","","","Plaine Saint Jean","[ 48.349396 , 0.368376]","0.368376","48.349396","Non","Oui","Non","","Avec logement de gardien","Oui","100","0","Complexe sportif","Non","Oui","Non","Non","Non","Non","11","10","2012-09-14"
"Complexe Sportif Godard","721800002","Mamers","72180","72600","","","Rue du Docteur Godard","[ 48.349396 , 0.368376]","0.368376","48.349396","Non","Oui","Non","","Non","Non","20","0","Complexe sportif","Non","Oui","Non","Non","Non","Non","4","4","2011-09-16"
"Stade Municipal  Robert Chevalier","721800003","Mamers","72180","72600","","","rue Saint Roch","[ 48.349396 , 0.368376]","0.368376","48.349396","Non","Oui","Non","","Non","Non","30","0","Complexe sportif","Non","Non","Non","Non","Non","Non","4","4","2011-09-16"
"Complexe Sportif Pasteur","721800004","Mamers","72180","72600","","","Boulevard Pasteur","[ 48.349396 , 0.368376]","0.368376","48.349396","Oui","Non","Non","","Non","Non","20","0","Complexe sportif","Non","Oui","Non","Non","Non","Non","4","4","2011-09-16"
"Piscine Municipale","721800005","Mamers","72180","72600","","","Rue de la Piscine","[ 48.349396 , 0.368376]","0.368376","48.349396","Non","Oui","Non","0","Non","Non","40","0","Piscine","Non","Oui","Non","Non","Non","Non","1","1","2011-09-16"
"Complexe Sportif  Jacques Moriceau","721800006","Mamers","72180","72600","","","Rue de la Piscine","[ 48.349396 , 0.368376]","0.368376","48.349396","Oui","Non","Non","0","Non","Non","20","0","Complexe sportif","Non","Non","Non","Non","Non","Non","9","7","2011-09-16"
"Boulodrome","721800007","Mamers","72180","72600","","","rue de la Piscine","[ 48.349396 , 0.368376]","0.368376","48.349396","Non","Oui","Non","0","Non","Non","20","0","Non","Non","Non","Non","Non","Non","Non","6","4","2011-09-16"
"Centre Équestre du Saosnois","721800008","Mamers","72180","72600","","","rue Verte","[ 48.349396 , 0.368376]","0.368376","48.349396","Oui","Non","Non","","Non","Non","10","0","Non","Non","Non","Non","Non","Non","Non","5","5","2011-09-16"
"Salle de L'Horloge","721800009","Mamers","72180","72600","","","Place de la République","[ 48.349396 , 0.368376]","0.368376","48.349396","Oui","Non","Non","","Non","Non","50","2","Non","Non","Oui","Non","Non","Non","Non","1","1","2011-09-16"
"Terrain de Pétanque du Foyer des Baronnières","721800010","Mamers","72180","72600","","","rue aux Cordiers","[ 48.349396 , 0.368376]","0.368376","48.349396","Oui","Non","Non","","Non","Non","10","0","Non","Non","Oui","Non","Non","Non","Non","2","1","2011-09-16"
"Salle de Musculation","721800011","Mamers","72180","72600","","10","rue du Fort","[ 48.349396 , 0.368376]","0.368376","48.349396","Oui","Non","Non","","Non","Non","5","0","Non","Non","Oui","Non","Non","Non","Non","1","1","2011-09-16"
"Centre de Jeunesse","721800012","Mamers","72180","72600","","","rue de la Piscine","[ 48.349396 , 0.368376]","0.368376","48.349396","Non","Oui","Non","","Non","Non","20","0","Non","Non","Non","Non","Non","Non","Non","2","2","2011-09-16"
"Ecole Paul Fort","721800013","Mamers","72180","72600","","","Rue du Fort","[ 48.349396 , 0.368376]","0.368376","48.349396","Non","Oui","Non","","Non","Non","10","0","Etablissement scolaire","Non","Oui","Non","Non","Non","Non","2","2","2011-09-16"
"Collège Notre Dame - Saint-Paul","721800015","Mamers","72180","72600","","24","rue Ledru Rollin","[ 48.349396 , 0.368376]","0.368376","48.349396","Non","Oui","Non","","Non","Non","5","0","Etablissement scolaire","Non","Non","Non","Non","Non","Non","1","1","2011-09-16"
"Base de Loisirs","721800016","Mamers","72180","72600","","","Rue de la piscine","[ 48.349396 , 0.368376]","0.368376","48.349396","Non","Oui","Non","","Non","Non","80","1","Base de plein air et/ou de loisirs","Non","Non","Non","Non","Non","Non","10","10","2011-09-16"
"Agorespace","721800017","Mamers","72180","72600","","","Rue du stade","[ 48.349396 , 0.368376]","0.368376","48.349396","Oui","Non","Non","","-","Non","0","0","Non","Non","Non","Non","Non","Non","Non","1","1","2011-09-16"
"Multi Stade","721800018","Mamers","72180","72600","","","Rue des Cordiers","[ 48.349396 , 0.368376]","0.368376","48.349396","Oui","Non","Non","","Non","Non","0","0","Non","Non","Non","Non","Non","Non","Non","1","1","2011-09-16"
"Complexe Sportif Ardriers","721810001","Mans","72181","72000","","","Rue du Vieux Loup","[ 48.003684 , 0.196304]","0.196304","48.003684","Non","Oui","Non","0","Non","Non","50","2","Complexe sportif","Non","Oui","Non","Non","Non","Non","4","3","2012-09-10"
"Salle Thoré","721810002","Mans","72181","72000","","45","Rue Thoré","[ 48.003684 , 0.196304]","0.196304","48.003684","Non","Oui","Non","0","Non","Non","20","0","Non","Non","Oui","Non","Non","Non","Non","2","2","2012-09-28"
"Complexe Sportif Les Raineries","721810003","Mans","72181","72100","","","Chemin de Laigné","[ 48.003684 , 0.196304]","0.196304","48.003684","Oui","Non","Non","0","Non","Non","20","0","Complexe sportif","Non","Oui","Non","Non","Non","Non","10","9","2012-07-13"
"Complexe Sportif de L'Ancienne Piscine des Sablons","721810004","Mans","72181","72100","","","Boulevard de Winston Churchill","[ 48.003684 , 0.196304]","0.196304","48.003684","Oui","Non","Non","0","Non","Non","50","1","Complexe sportif","Non","Oui","Oui","Non","Non","Non","3","3","2012-06-15"
